browser_id,browser_name
0,Unknown
1903,Chrome 28.7.2261
4003,Chrome 49.10.43
4501,Opera Mobile 34.0.2033
6101,Chrome 31.8.1782
7801,Chrome 26.5.369
8701,Chrome 31.8.2067
11404,Chrome 1510150085.136183240.1478687238
14603,Edge 13.11054
18403,Chrome 2089062349.1909302076.910376438
20601,Chrome 32.3.489
24101,Chrome 1592811781.2209420.1928795080
74511,Firefox CD40
84511,AOL Browser 9.4
104511,Chrome 45.2.2369
144511,Chrome 27.8.1062
164511,Chrome 29.6.91
194511,Firefox 502B
254511,Opera 603705
274511,Chrome 26.7.1034
304511,Chrome 32.2.1992
344511,Safari 908
404511,Chrome 46.10.1562
414513,Safari 9.2.4
414514,Chrome 40.1.2357
414615,Chrome 344772709.2112891116.1406365480
414713,Chrome 45.0.2477
414714,Chrome Mobile 03
414715,Firefox FA87
414716,Opera Mini 4.4.34861/37
414717,Chrome 1892563365.1029425974.69149935
414913,Chrome 152298562.766679315.691492280
415013,Chrome 971410110.1030586631.1003641525
415014,Chrome 27.8.496
415113,Chrome 366334009.2093493090.122483123
415114,Chrome 49.8.441
415115,Chrome 37.0.801
415117,Firefox C952
415118,Edge 30853335
415119,Chrome 48.0.2551
